Count,Zipcode,Type,Owner Occ?,Purchase Down %,Purchase Amt,Amount Mortgaged,Mtg Tx Pd,Mansion Tax Pd,New Sales Tax Amount,Population,Median Age,Household Income,Median Gross Rent
1,11201,SFR,0,25.0,4997000,3747750.0,73081.125,49970.0,44973.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,20.0,1795000,1436000.0,28002.0,17950.0,16154.999999999998,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,25.0,1100000,825000.0,16087.5,11000.0,9900.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,20.0,880000,704000.0,13728.0,0.0,12320.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,20.0,720000,576000.0,11232.0,0.0,10080.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,15.0,1025000,868000.0,16926.0,10250.0,9225.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,2300000,0.0,0.0,23000.0,20700.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,49.0,2150000,1100085.0,21451.6575,21500.0,19350.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,21.0,2910000,2308243.0,45010.7385,29100.0,26189.999999999996,69755.0,35.1,163310.0,3110.0
1,11201,SFR,0,100.0,10800000,7560000.0,147420.0,108000.0,97199.99999999999,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,1149000,0.0,0.0,11490.0,10341.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,20.0,1395000,1116000.0,21762.0,13950.0,12554.999999999998,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,675000,0.0,0.0,0.0,9450.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,50.0,1890000,945000.0,18427.5,18900.0,17010.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,2100000,1059090.0,20652.255,21000.0,18900.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,15.0,2200000,1870000.0,36465.0,22000.0,19800.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,84.0,1575000,247944.0,4462.991999999999,15750.0,14174.999999999998,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,485000,0.0,0.0,0.0,6790.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,21.0,380000,300000.0,5400.0,0.0,5320.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,375000,0.0,0.0,0.0,5250.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,72000,0.0,0.0,0.0,1008.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,695000,0.0,0.0,0.0,9730.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,69.0,1056000,325000.0,5850.0,10560.0,9504.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,455000,0.0,0.0,0.0,6370.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,472500,0.0,0.0,0.0,6615.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,20.0,395000,316000.0,5688.0,0.0,5530.0,69755.0,35.1,163310.0,3110.0
1,11231,CND,0,59.0,1525000,625000.0,12187.5,15250.0,13724.999999999998,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,27.0,1615000,1172000.0,22854.0,16150.0,14534.999999999998,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,20.0,980000,784000.0,15288.0,0.0,13720.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,100.0,975000,520930.0,10158.135,0.0,13650.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,79.0,1470000,313964.0,5651.352,14700.0,13229.999999999998,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,100.0,1540000,0.0,0.0,15400.0,13859.999999999998,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,10.0,1299000,1000000.0,19500.0,12990.0,11691.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,20.0,1425000,1140000.0,22230.0,14250.0,12824.999999999998,38829.0,37.7,130396.0,2309.0
1,11231,SFR,0,47.0,3950000,2100000.0,40950.0,39500.0,35550.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,86.0,2615000,370105.0,6661.889999999999,26150.0,23535.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,100.0,1500000,0.0,0.0,15000.0,13499.999999999998,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,89.0,3733500,420086.0,7561.548,37335.0,33601.5,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,100.0,4300000,0.0,0.0,43000.0,38700.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,100.0,3350000,0.0,0.0,33500.0,30149.999999999996,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,40.0,4189500,2500000.0,48750.0,41895.0,37705.5,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,47.0,850000,450000.0,8099.999999999999,0.0,11900.0,38829.0,37.7,130396.0,2309.0
1,11231,SFR,0,20.0,5320000,4256000.0,82992.0,53200.0,47880.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,10.0,685000,613500.0,11963.25,0.0,9590.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,59.0,1850000,755697.0,14736.0915,18500.0,16650.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,10.0,1995000,1795300.0,35008.35,19950.0,17955.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,15.0,2300000,1955000.0,38122.5,23000.0,20700.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,30.0,1800000,1260000.0,24570.0,18000.0,16199.999999999998,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,20.0,3400000,2720000.0,53040.0,34000.0,30599.999999999996,38829.0,37.7,130396.0,2309.0
1,11231,SFR,0,99.0,4550000,50000.0,899.9999999999999,45500.0,40950.0,38829.0,37.7,130396.0,2309.0
1,11231,CND,0,83.0,2750000,479777.0,8635.985999999999,27500.0,24749.999999999996,38829.0,37.7,130396.0,2309.0
1,11201,SFR,0,84.0,9365000,1489358.0,29042.481,93650.0,84285.0,69755.0,35.1,163310.0,3110.0
