Type,Address,ZIP,Purchase Amt,Purchase Down %,1st Amount,2nd Amount,CLTV %,Purchase Date,Purchase Type,City,Owner Occ?,Listed for Sale?
CND,71 WARREN ST 2,10007,2500000,70,,,0,3/17/2021,Market,NEW YORK,1,0
CND,71 WARREN ST 1,10007,2900000,20,2320000,,75,3/16/2021,Market,NEW YORK,1,0
CND,71 MURRAY ST 10,10007,7475000,100,,,0,7/12/2021,Market,NEW YORK,1,0
CND,83 MURRAY ST 1,10007,2300000,100,,,0,8/31/2023,Market,NEW YORK,0,0
CND,77 WARREN ST 2,10007,2950000,100,,,0,7/13/2023,Market,NEW YORK,1,0
CND,45 WARREN ST 4,10007,5750000,81,1075000,,19,9/8/2023,Market,NEW YORK,0,0
CND,49 MURRAY ST 4,10007,3375000,100,,,0,7/25/2023,Market,NEW YORK,0,0
CND,53 MURRAY ST 1,10007,3250000,32,,,0,3/19/2018,Market,NEW YORK,0,0
CND,53 MURRAY ST 5,10007,3650000,20,2920000,,76,2/7/2022,Market,NEW YORK,1,0
CND,53 WARREN ST 3,10007,3000000,100,500000,,15,7/16/2014,Market,NEW YORK,1,0
CND,53 WARREN ST 5,10007,2925000,20,2340000,,86,5/12/2023,Market,NEW YORK,0,0
CND,55 WARREN ST 2,10007,6700000,78,485574,1000000,22,8/24/2021,Market,NEW YORK,1,0
CND,37 WARREN ST 2B,10007,2100000,89,239286,,11,3/22/2022,Market,NEW YORK,1,0
CND,37 WARREN ST 5A,10007,4395000,30,3076500,,59,11/9/2018,Market,NEW YORK,1,0
CND,37 WARREN ST 7C,10007,3125000,56,1382538,,41,3/24/2021,Market,NEW YORK,1,0
CND,37 WARREN ST 6A,10007,4650000,100,,,0,12/30/2021,Market,NEW YORK,1,0
CND,9 MURRAY ST 8W,10007,3775000,35,2453750,,52,7/27/2016,Market,NEW YORK,1,0
CND,9 MURRAY ST 8SE,10007,4350000,20,3480000,,70,7/10/2020,Market,NEW YORK,1,0
CND,9 MURRAY ST 7W,10007,4075000,46,2200000,,52,11/19/2021,Market,NEW YORK,1,0
CND,9 MURRAY ST 11NE,10007,3500000,25,2625000,,73,3/21/2023,Market,NEW YORK,0,0
CND,19 WARREN ST 3E,10007,2295000,20,1836000,229417,80,4/6/2022,Market,NEW YORK,1,0
CND,25 MURRAY ST 2H,10007,2900000,61,1122851,,37,1/31/2022,Market,NEW YORK,1,0
CND,25 MURRAY ST 2K,10007,1625000,100,,,0,11/15/2023,Market,NEW YORK,1,0
