Address,Count,Zipcode,Type,Owner Occ?,Purchase Amt,Amount Mortgaged,% Borrowed,Mtg Tx Pd,Mansion Tax Pd,New Sales Tax Amount,Population,Median Age,Household Income,Per Capita Income,Median Gross Rent,Poverty Count,Poverty Rate
55 WHITE ST 4B,1,10013,CND,0.0,3900000.0,0.0,0.0,0.0,39000.0,35100.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
90 FRANKLIN ST 3N,1,10013,CND,0.0,2953000.0,1771800.0,60.0,34550.1,29530.0,26577.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
90 FRANKLIN ST 4S,1,10013,CND,0.0,4055000.0,0.0,0.0,0.0,40550.0,36495.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
90 FRANKLIN ST 5N,1,10013,CND,0.0,3195000.0,0.0,0.0,0.0,31950.0,28755.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
90 FRANKLIN ST 8S,1,10013,CND,0.0,3500000.0,2800000.0,80.0,54600.0,35000.0,31500.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
90 FRANKLIN ST 15,1,10013,CND,0.0,13500000.0,0.0,0.0,0.0,135000.0,121500.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
5 FRANKLIN PL 6A,1,10013,CND,0.0,3275000.0,0.0,0.0,0.0,32750.0,29475.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
56 LEONARD ST 30AW,1,10013,CND,0.0,5050000.0,3000000.0,59.4059405940594,58500.0,50500.0,45450.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
155 FRANKLIN ST 3N,1,10013,CND,0.0,5520000.0,0.0,0.0,0.0,55200.0,49679.99999999999,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
14 LEONARD ST 4D,1,10013,CND,0.0,6750000.0,3000000.0,44.44444444444444,58500.0,67500.0,60749.99999999999,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
18 LEONARD ST 6A,1,10013,CND,0.0,2895000.0,2000000.0,69.08462867012089,39000.0,28950.0,26055.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
67 HUDSON ST 5C,1,10013,CND,0.0,1200000.0,0.0,0.0,0.0,12000.0,10800.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
17 JAY ST 1,1,10013,CND,0.0,3100000.0,2000000.0,64.51612903225806,39000.0,31000.0,27900.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
